theme,url,img,lines,author
DETERMINATION,/inspirational-quotes/4218-there-is-no-chance-no-destiny-no-fate-that,https://assets.passiton.com/quotes/quote_artwork/4218/medium/20210308_monday_quote.jpg?1614900669,"There is no chance, no destiny, no fate, that can hinder or control the firm resolve of a determined soul.",<Author:0x00007f697232fc20>
FRIENDSHIP,/inspirational-quotes/8194-friendship-is-a-strong-and-habitual-inclination,https://assets.passiton.com/quotes/quote_artwork/8194/medium/20210305_friday_quote.jpg?1614384615,Friendship is a strong and habitual inclination in two persons to promote the good and happiness of one another.,<Author:0x00007f6972349878>
FRIENDSHIP,/inspirational-quotes/7438-the-most-beautiful-discovery-true-friends-make,https://assets.passiton.com/quotes/quote_artwork/7438/medium/20210304_thursday_quote.jpg?1614384591,The most beautiful discovery true friends make is that they can grow separately without growing apart.,<Author:0x00007f6972373498>
FRIENDSHIP,/inspirational-quotes/8193-friends-are-the-family-you-choose,https://assets.passiton.com/quotes/quote_artwork/8193/medium/20210303_wednesday_quote.jpg?1614384566,Friends are the family you choose.,<Author:0x00007f69723a3620>
FRIENDSHIP,/inspirational-quotes/8192-anything-is-possible-when-you-have-the-right,https://assets.passiton.com/quotes/quote_artwork/8192/medium/20210302_tuesday_quote.jpg?1614384547,Anything is possible when you have the right people there to support you.,<Author:0x00007f69723bcc38>
FRIENDSHIP,/inspirational-quotes/7641-friends-are-medicine-for-a-wounded-heart-and,https://assets.passiton.com/quotes/quote_artwork/7641/medium/20210301_monday_quote.jpg?1614384524,Friends are medicine for a wounded heart and vitamins for a hopeful soul.,<Author:0x00007f69723f2298>
LIVE LIFE,/inspirational-quotes/7384-find-life-experiences-and-swallow-them-whole,https://assets.passiton.com/quotes/quote_artwork/7384/medium/20210226_friday_quote.jpg?1613752730,Find life experiences and swallow them whole. Travel. Meet many people. Exhaust yourself in the glorious pursuit of life.,<Author:0x00007f6972417638>
LIVE LIFE,/inspirational-quotes/4250-do-not-let-making-a-living-prevent-you-from,https://assets.passiton.com/quotes/quote_artwork/4250/medium/20210225_thursday_quote.jpg?1613752695,Do not let making a living prevent you from making a life.,<Author:0x00007f697243ff48>
LIVE LIFE,/inspirational-quotes/6746-you-have-brains-in-your-head-you-have-feet-in,https://assets.passiton.com/quotes/quote_artwork/6746/medium/20210224_wednesday_quote.jpg?1613752671,You have brains in your head. You have feet in your shoes. You can steer yourself in any direction you choose. You're on your own. And you know what you know. You are the one who'll decide where to go. ,<Author:0x00007f697245e128>
LIVE LIFE,/inspirational-quotes/6525-the-person-who-has-lived-the-most-is-not-the,https://assets.passiton.com/quotes/quote_artwork/6525/medium/20210223_tuesday_quote.jpg?1613752634,"The person who has lived the most is not the one with the most years, but the one with the richest experiences.",<Author:0x00007f6972474360>
LIVE LIFE,/inspirational-quotes/8191-life-itself-is-a-privilege-but-to-live-life-to,https://assets.passiton.com/quotes/quote_artwork/8191/medium/20210222_monday_quote.jpg?1613752607,"Life itself is a privilege. But to live life to the fullest- well, that is a choice.",<Author:0x00007f697249c068>
LOVE,/inspirational-quotes/7593-your-circumstance-doesn-t-make-life,https://assets.passiton.com/quotes/quote_artwork/7593/medium/20210219_friday_quote.jpg?1613084230,Your circumstance doesn’t make life extraordinary. Love does.,<Author:0x00007f69724c5c88>
LOVE,/inspirational-quotes/6952-and-still-after-all-this-time-the-sun-has,https://assets.passiton.com/quotes/quote_artwork/6952/medium/20210218_thursday_quote.jpg?1613084201,"And still, after all this time, the Sun has never said to the Earth,‘You owe me.’ Look what happens with love like that. It lights up the sky.",<Author:0x00007f69724f3110>
LOVE,/inspirational-quotes/7692-you-yourself-as-much-as-anybody-in-the-entire,https://assets.passiton.com/quotes/quote_artwork/7692/medium/20210217_wednesday_quote.jpg?1613084162,"You yourself, as much as anybody in the entire universe deserve your love and affection.",<Author:0x00007f697250d2b8>
LOVE,/inspirational-quotes/8190-the-best-thing-to-hold-onto-in-life-is-each-other,https://assets.passiton.com/quotes/quote_artwork/8190/medium/20210216_tuesday_quote.jpg?1613084126,The best thing to hold onto in life is each other.,<Author:0x00007f6972536a28>
LOVE,/inspirational-quotes/6900-let-us-see-what-love-can-do,https://assets.passiton.com/quotes/quote_artwork/6900/medium/20210215_monday_quote.jpg?1613084103,Let us see what love can do.,<Author:0x00007f697254c710>
CONFIDENCE,/inspirational-quotes/8189-believing-that-the-dots-will-connect-down-the,https://assets.passiton.com/quotes/quote_artwork/8189/medium/20200212_friday_quote.jpg?1612472860,Believing that the dots will connect down the road will give you the confidence to follow your heart.,<Author:0x00007f6972595640>
CONFIDENCE,/inspirational-quotes/7403-as-is-our-confidence-so-is-our-capacity,https://assets.passiton.com/quotes/quote_artwork/7403/medium/20200211_thursday_quote.jpg?1612472845,"As is our confidence, so is our capacity.",<Author:0x00007f69725be040>
